uae_tweet_cleaned,translation_status,msa_translation
من كل واحد مغترب برا الكويت من كل واحد فاقد اهل وبيت لكل واحد ما قدر يحضر وبقلبه حضر ماكان وده يفارقج الله يسامح السفر,not verified,من كل شخص مقيم خارج الكويت، من كل شخص فاقد أسرته ومنزله، لكل شخص لم يستطع الحضور وبقلبه يحضر، لم يكن يرغب في تركك، الله يسامح السفر.
رغبتي بايجاد طرق افضل,not verified,رغبتي في إيجاد طرق أفضل.
في الحقيقه لا اعلم,not verified,في الواقع، لست على دراية.
اختراق حسابك في الواتساب له اسباب,not verified,اختراق حسابك في الواتساب لديه أسباب.
مراسيلك لا مرت القلب تحيه,not verified,مراسلتك لم تمر القلب تحية
ان شاءالله م يوافق,verified,إن شاء الله لا يوافق
ايه احبك ولا لك فالمحبه خشير والله انك في وسط قلبي لحالك,not verified,أنا أحبك ولكن المحبة خشية، والله أنك في وسط قلبي وحدك.
اياك نعبد واياك نستعين استعنت بك يا الله علي مصائب الحياه علي كسره القلب وخيبه الامل وكل تعب استعنت بك في السراء والضراء فاعني,not verified,احذر أن نعبد غير الله وأن نستعين بغيره. استعنت بك يا الله على مصائب الحياة، على كسر القلب وخيبة الأمل وكل تعب. استعنت بك في السراء والضراء فاعنني.
كيف الشخص يتعامل وياش,not verified,كيف يتعامل الشخص مع الآخرين؟
شكلها بتمطر ولا ايش هذا,not verified,تبدو وكأنها ستمطر أو ما هذا؟
انا عايزه بحياته ميبقاش اي بنت غيري انا وامه بس,not verified,أرغب بأن يكون في حياته لا فتاة غيري أنا وأمه فقط.
اذا ماضقت بالعيش الكئيب فبادر بالصلاه علي الحبيب فما صلي الحزين عليه الا اتاه الله بالفرج القريب اللهم صل علي محمد وال محمد,not verified,إذا لم تُضَيق بالعيش الكئيب، فبادر بالصلاة على الحبيب. فما صلَّى الحزين عليه إلا أتاه الله بالفرج القريب. اللهم صل على محمد وآل محمد.
واني يارب قد وليتك كل مافي قلبي,not verified,وأنا يا رب قد وليتُكَ كلّ ما في قلبي.
بموت شيعني جيي,not verified,بموت شيعياً إذا كنت تأتي.
يستطيع كل الناس ستره وعندما خاف الجميع ان يشهدوا لك انطق الله رضيعا لينصفك شكرا يوسف من قصتك تعلمت ان في السجن,not verified,يستطيع كل الناس ستره وعندما خاف الجميع أن يشهدوا لك انطق الله رضيعًا لينصفك. شكرًا يوسف على قصتك، تعلمت أنه في السجن.
ولله الحمد والمنه والفضل والثناء الحسن الدكتور ما سجل الحضور اليوم,not verified,وَلِلَّهِ الْحَمْدُ وَالْمَنَّةُ وَالْفَضْلُ وَالثَّنَاءُ الْحَسَنُ. الدُّكْتُوْرُ مَا سَجَلَ الْحَضُوْرَ الْيَوْمَ.
استغفر الله العظيم واتوب اليه,not verified,أعتوب على الله العظيم وأرجو مغفرته
الله لو الشعور نفسه اللي فيني فيك,not verified,الله لو الشعور الذي فيك متواجد في نفسي
اسال الله العظيم رب العرش العظيم ان يشفي لنا سلطاننا قابوس بن سعيد,not verified,أسأل الله العظيم، رب العرش العظيم، أن يشفي لنا سلطاننا قابوس بن سعيد.
طاريك يمليني فرح شعاد لقياك,not verified,تملأني بالفرح عند لقائك
مافي برق الاردن عشان انت تحط,not verified,لا يوجد برق في الأردن لأنك تضعه.
حبيبه قلبي باذن الله يا رب,not verified,حبيب قلبي بإذن الله يا رب
واما اليتيم فلا تقهر,verified,وأما اليتيم فلا تقهر.
انت كل شيء والله,verified,انت كل شيء والله
جعلك بخير لو خاطري منك ضايق,not verified,أتمنى أن تكون بخير وعلى ما يرام، حتى لو كنت قد شعرت بالضيق منك.
الاعاقه السمعيه وذلك من خلال توظيف مترجمي الاشاره لترجمه كافه البرامج المقدمه عبر القنوات التلفزيونيه الي جانب الا تقتصر البرامج,verified,على التأكيد على حقوق الأشخاص ذوي الإعاقة السمعية، ويتم ذلك عن طريق توظيف مترجمي الإشارة لترجمة جميع البرامج التي تعرض عبر القنوات التلفزيونية، بحيث لا تقتصر البرامج على فئات معينة.
في طفولتي كنت اعشق الحركه والرياضه بكافه انواعها كنت امارس الرياضه لساعات طويله ودون ملل كرياضه التنس والسكواش والجمباز والكاراتيه هذه الرياضيات كنت ماهره فيها برغم انني لم اتعلمها في نادي او ما شابه الا ان الكل يشهد بمهارتي فيها,not verified,في طفولتي كنت أعشق الحركة والرياضة بكافة أنواعها. كنت أمارس الرياضة لساعات طويلة ودون ملل، مثل رياضة التنس والسكواش والجمباز والكاراتيه. هذه الرياضيات، كنتُ ماهرةً فيها برغم أنني لم أتعلمها في نادٍ أو ما شابه. إلا أن الجميع يشهد بمهارتي فيها.
بالفعل ولكن بعض الناس عندها قدره عجيبه علي اخفاء مشاعرها وكمان مو لازم يخفونها دايما امنيتي انهم يعبرون عن شعورهم ولو لمره بدل الكتمان,not verified,فعلاً، لكن بعض الأشخاص يمتلكون قدرة غريبة على إخفاء مشاعرهم، ولا يحتاجون دائماً لإخفاءها. أمنيتي أن يعبروا عن مشاعرهم حتى لو لمرة واحدة بدلاً من كتمانها.
لو قلت لك مشتاق ب تعود,not verified,لو قلت لك أنا مشتاق أن تعود.
عندي بس وايد تحت,not verified,عندي فقط كثير جنوباً
عندي احساس ان اختفائي مريحكم وعشان كذا جيت اضايقكم,not verified,عندي إحساس بأن اختفائي يريحكم، ولهذا السبب جئت لأزعجكم.
اخيرا خلصت اول كورس من الماستر فعلا واجهت الكثير من الضغوط وظيفه جديده والدراسه ضغوط شخصيه ولكن لذه الانتصار في النهايه غيير عسي ان شاء الله تعدي الثلاث كورسات المتبقيه علي خير,not verified,أخيراً انتهيت من أول مرحلة من الماجستير حقًا، واجهت الكثير من الضغوط كوني في وظيفة جديدة والدراسة ضغوط شخصية، ولكن شعور الانتصار في النهاية لا يوصف. أتمنى أن يتجاوز الثلاث مراحل المتبقية بخير بإذن الله.
خلنا ناخذها من جانب ايجابي يمكن هو شايف نفسه متورط بهالاشياء وحابلك الخير ولا يبيك تسلك زي طريقه,not verified,دعنا ننظر إلى الجانب الإيجابي؛ ربما يروي قصته بأنه متورط في هذه الأمور ويرغب في خيرك، ولا يريدك أن تسلك نفس الطريق.
سامسونج تعلن عن مجموعه من الشاشات المنحنيه الجديده للالعاب في معرض,not verified,سامسونج تعلن عن مجموعة من الشاشات المنحنية الجديدة للألعاب في المعرض.
والله عيش ولحم ثلاث ايام ابد مب غلط,not verified,والله أعيش وأقضي ثلاثة أيام أبدًا ما بالغ في الخطأ.
كل موسم ينصاب,not verified,كل فترة يحدث
بلتقي بعيونها و عيونها احلي وطن و كل الامان,not verified,سألتقي بعينيْها وعيونها هي الوطن الجميل وكامل الأمان.
عسانا علي البال,verified,قد نكون في البال
رعد وبرق وليله مطراللهم امنيه قلبي,not verified,رعد وبرق وليله ممطرة. اللهم أسألك تحقيق أمنية قلبي.
السعاده غايه قلوب البشر وانت عينك للسعاده مختصر,not verified,السعادة هي هدف قلوب البشر، وأنت عينك مختصرة للسعادة.
ليت الثواني بشوفتك تصبح سنين,not verified,ليت الثواني برؤيتك تتحول إلى سنوات.
الجرح مرده يبري و يروح,not verified,الجرح يبرأ و يختفي.
لا اله الا الله ربنا يهديكي,not verified,لا إله إلا الله، ربّنا يهديك
ارجعلي انا قلبي معك مش قادر انسي هواك,not verified,ارجِعْ لي، إِن قلبِي مَعَكَ، لا أستَطِيعُ نسيانَ هَوَاكَ.
ودي انصحكم بس اتذكر نفسي واسكت,not verified,أود أن أنصحكم لكن أتذكّر نفسي وأسكت.
حياتي عباره عن فيني نوم,not verified,حياتي عبارة عن النوم.
الليل وحشه بدونك,not verified,الليل مُفرِط الوحشة بدونك
الله يحميه ويحفظه لك ويقومه بالسلامه يارب,verified,الله يحميه ويحفظه لك ويقومه بالسلامه يارب
كانو انسان يقول المثل مالك فالبحر و اهواله انت مجالك فالكوميديا والتحدث فالسوشل الميديا حاول ان تطور نفسك فهذا المجال مب غصب تكون سوبر,not verified,"كانوا يقولون المثل ""مالك في البحر وأهواله"" ، أنت مجالك في الكوميديا والتحدث في وسائل التواصل الاجتماعي. حاول أن تطور نفسك في هذا المجال ، فلا يمكن أن تكون سوبر بالإكراه."
كيف يمحي اثر الكلمه الجارحه من النفس خاطره اعجبتني لا اعلم صاحبها ولكنها خاطره مفيده يقول صاحب الخاطره عند سماعك,verified,كيف يمحي اثر الكلمه الجارحه من النفس خاطره اعجبتني لا اعلم صاحبها ولكنها خاطره مفيده يقول صاحب الخاطره عند سماعك
حسبي الله ونعم الوكيل فيهم منو هالمجرمين اللي تفكيرهم كذا,not verified,حسبي الله ونعم الوكيل فيهم. من هم هؤلاء المجرمين الذين تفكيرهم بهذه الطريقة.
شو ترتيب العضه,not verified,ما هو ترتيب العضة؟
سعاده قائد شرطه راس الخيمه يكرم المدير التنفيذي للهيئه الدكتور سيف الغيص بجائزه شرطه راس الخيمه,not verified,سعادة قائد شرطة رأس الخيمة يكرم المدير التنفيذي للهيئة الدكتور سيف الغيص بجائزة شرطة رأس الخيمة.
انا ثاني احلي زنجي من بعدك,not verified,أنا ثاني أفضل زنجي بعدك.
تواسيني صوره كل ما حنيت له,not verified,تعزيني صوره كلما شتاقت إليه
ها انت ابتعدت وها انا لم امت,not verified,ها أنتَ قد ابتعدتَ وها أنا لم أمتَ.
اعشق ها الشاعر,not verified,أنا أعشق هذا الشاعر.
نفسيه بس طيب,not verified,الذاتية لكنها طيبة.
نظمي وقتك مثلا يوميا ربع ساعه تصفيه علي مدي اسبوع بتمر الايام وبتحصلين نفسك خلصتي,not verified,تنظّمي وقتكِ، على سبيل المثال، يومياً ربع ساعة لتصفيته على مدى أسبوع. بذلك، تمر الأيام وستجدين نفسكِ قد انتهيتِ.
كل يوم بي تكبر غلاتك والقاك دوم بعيني تزين من بالحسن سيدي شراتك مثلك فلا قد شافت العين,not verified,كل يوم تتزايد قيمتك وأراك دائمًا تجمّل عند عيني، تتزين بجمالك سيدي وتبرز أفضالك. لم يشاهد العين مثلك من قبل.
طبعي واعرفه اقدر من يقدرني اعطيه كل مايبي من طيب نياتي,not verified,طبعي وأعرف أنني أستطيع أن أمنحه كل ما يرغب من نياتي الطيبة.
لا حول ولا قوه الا بالله وش معناها اصلا اقصد الدرجات العاليه,verified,لا حول ولا قوه الا بالله ما معناها اقصد الدرجات العاليه
ما عاد بدري,not verified,ما زال هو ليس صباحاً.
مع الخيل يا شقرا يا بوشهاب يشبه تويتر,not verified,مع الخيل يا شقراء يا بوشهاب يشبه تويتر
لا تكن من الذين يؤمنون بالعين والحسد اكثر من ايمانهم بالتوكل علي الله وحمايته لهم,not verified,لا تكن من الذين يؤمنون بالعين والحسد أكثر من إيمانهم بالتوكل على الله وحمايته لهم.
اعمل كل اللي انتا عايزه بس صلي متقطعش,not verified,اعمل كل ما تريده، لكن لا تقطع الصلاة.
احس اني ابيك وما ابيك بين حيره حب ومكاابر,not verified,أشعر أنني أحتاجك وأنا لا أحتاجك بين حيرة الحب والعناد.
ليس خطئي ولا خطؤك نحن كالشحنات المتشابهه نتنافر,not verified,ليستَ خطيئتي ولا خطئك، نحن كالشحنات المتشابهة نتنافر.
اصبتي ف اختيار الاسماء,not verified,لقد واجهت صعوبة في اختيار الأسماء
وقتي مليل بلاكم ونومي غثه السهر,not verified,وقتي مليء بدونكم ونومي مضطرب بسبب السهر.
خل الرفيق الي غدر بي يسليك واذكر ترا من خان لاجلك يخونك,not verified,اترك الصديق الذي خانني يحاول مصالحتك واعلم أن من خان لأجلك سيخونك.
تعاي سناب بتفاهم معاش,not verified,انضم إلى السناب شات حتى نتمكن من التواصل.
للان نفس المشاكل وتزيد مشكله كل يوم,not verified,حالياً، هناك نفس المشاكل وتتزايد مشكلتها يوماً بعد يوم.
هب لها ياللہ سعاده لا تغادر تفاصيل ايامها ابدا,not verified,هب لها يا الله سعادة لا تترك تفاصيل أيامها أبدًا.
الحج اشهر معلومات ۚ فمن فرض فيهن الحج فلا رفث ولا فسوق ولا جدال في الحج ۗ ١٩٧ من سوره البقره واذن في الناس بالحج ياتوك رجالا وعلي كل ضامر ياتين من كل فج عميق الحج عيش الحرم,not verified,الحج هو شهر معروف. فمن فرض فيه الحج، فلا فعلٌ غير أخلاقي ولا تجاوز ولا جدال فيما يتعلق بالحج. (قراءة سورة البقرة، الآية رقم 197) وإذا أذن (أعطى إذنًا) للناس بأداء الحج، يأتوا (يركبوا) رجالٌ إليك من كل مكان، ويأتين (تأتي) على كل دابة (حيوان) قريةَ من كل وادٍ عميق. الحج هو الاستمتاع بالحرم.
مراقبه المجتمع للفرد,not verified,مراقبة المجتمع للفرد
تير شتيغين يترك حراسه مرمي برشلونه ويصبح لاعب خط وسط من حساب برشلونه برشلونيستا,not verified,تير شتيغين يترك حراسة مرمى برشلونة ويصبح لاعب خط وسط بحسب قرار برشلونيستا.
بروح انتحر باي,not verified,باعتزم الانتحار الآن.
خبر موسكو تتهم تويتر بمخالفه القوانين الروسيه معهد ترايدنت,not verified,خبر: تتهم موسكو تويتر بمخالفة القوانين الروسية، وذلك حسب معهد ترايدنت.
استقبلوا اقداركم بنفس راضيه فالله يعلم وانتم لا تعلمون,not verified,استقبلوا أقداركم بنفسٍ راضية، فإن الله يعلم وأنتم لا تعلمون.
مره مو واضح انه هو اللي اكله,not verified,مرة غير واضح أنه هو الذي أكله.
كن بقلب ابيض فليس علي الدنيا بقاء,not verified,كُنْ بقلبٍ أبيض، فليس على الدُنيا بقاءٌ.
والله ياحبك مستقر بقلبي كل الاستقرار,not verified,والله، يا حبك مستقر في قلبي بكل استقرار.
قريبا الكشف عن معيار البلوتوث بتغطيه مضاعفه وسرعه اعلي مرات,not verified,قريباً سيتم الكشف عن معيار البلوتوث بتغطية مضاعفة وسرعة أعلى مرات.
اول تجربه رسميه لي في المختبر كانت يوم الاثنين الماضي وكانت من افشل وافضع التجارب اللي خضتها وشكرا,not verified,أول تجربة رسمية لي في المختبر كانت يوم الاثنين الماضي وكانت مِن أفشل وأفْضَعِ التجارب الّتِي خضتُها وشكرًا.
كاني اشوفني في المستقبل,not verified,أرى نفسي في المستقبل
كله كلام فاضي جد م احب حد,not verified,جميعه برهان بلا جدوى، أنا لست مُعجبًا بأحد.
تم تقديم مجموعه من الورقات المتميزه في الجلسه السادسه والتي تحت عنوان المشكلات ومصادرها,not verified,تم تقديم مجموعة من الورقات المتميزة في الجلسة السادسة والتي تحت عنوان المشكلات ومصادرها.
خلقت عيناك ليحبها قلبي,not verified,تم خلق عينيك لتحبها قلبي
انا لي ثلاث ايام اطلب ومافي مندوبين ويفشل الطلب وانا حاطه فلوس في المحفظه ولا اقدر استرجعها وش السواه يعني مدري وش اقول ليش مسوين ابلكيشن واعلانات وشوشره علي وشو وربي مره مقهوره بموت منكم,not verified,أنا لي ثلاثة أيام أقوم بالطلب ولا يوجد مندوبون والطلب يفشل، وأنا أضع المال في المحفظة ولا أستطيع استرجاعها، ما الذي يجب أن أفعل؟ لا أدري ماذا أقول، لماذا يفعلون تطبيقات وإعلانات؟ ماذا يشوه عليّ؟ أنا حقًا محبطة حتى الموت منكم.
البعض لم يرحل لانك اخطات فقط هو كان ينتظر ان تخطئ ليرحل,not verified,بعض الأشخاص لم يرحلوا لأنك أخطأت فقط، فهو كان ينتظرك لتُخطئ ويُرحل.
الله مكبرغلاك ينبض بحبك فؤادي,not verified,الله مكبر غلاك، ينبض فؤادي بحبك.
الافضل انام لان هالماده هي الثقافه الاسلاميه ومن ديننا سو اغلب المعلومات نعرفها وكمان اخذتها قبل وعشان استرجعها يبيلي مخ فلو داومت مواصله وقتها علي الدنيا السلام,not verified,الأفضل أن أذهب للنوم لأن هذه المادة تتعلق بالثقافة الإسلامية ومعظم المعلومات التي نعرفها متعلقة بديننا. بالإضافة إلى ذلك، لقد درستها سابقًا وأرغب في استعادتها، لذلك يجب أن يكون لديَّ فترة من الراحة. إذا استمررت في الدراسة بشكل متواصل، ستؤثر ذلك على سلامتي.
لعنه الله يصبرني علي هل صريخ خيبه,not verified,لعنه الله، يصبرني على هذا الصريخ المخيب للآمال.
اللهم راحه تلامس قلبي كل حين,not verified,اللهم آتني قلبًا مطمئنًا في كل حين
خدوي اليوم اخر امتحان باجر بنهيكم كلكم اصبرو علي,not verified,خذوا يوم اليوم اخر امتحان ، غداً بنهيكم جميعاً ، اصبروا على.
ياكيف له قلب يقوي الفراق وياكيف ينسي احبابه,not verified,ياكيف لديه قلب قوي يستطيع تحمل الفراق وكيف يستطيع نسيان أحبابه.
و احبك كثر ما يعافيني صوتك,not verified,وأحبك كثيرًا كما يشفيني صوتك.
له نظرتن لا هي سراب ولا مي,not verified,لديها نظرة ليست سرابًا ولا ماء.
من خوفي عليك احتار اضمك وين,not verified,من خوفي عليك أشعر بالحيرة أين أحتضنك؟
اذا دعيت لميت دخل عليه ملك ومعه طبق من نور فيقول هذه هديه من اخيك فلان فيفرح بها كما يفرح بها ان كان فالدنيا,not verified,"إذا دعيت لميتاً دخل عليه مَلَكٌ ومعه طبقٌ من نورٍ فيقول: ""هذه هديةٌ من أخيك فلان"" فيفرح بها كما يفرح بها إن كان في الدنيا."
لالالالالالا لالا ثلات اسئله غلط,not verified,لا لا لا لا لا ثلاثة أسئلة غلط.
منتبهه لكلو م بيننا حكي,not verified,تنبهي لكل ما بيننا حديث.
‏ كلنا علي مسرح الحياه ومن يضع لنا ادوارنا هو القدر ومن يجيد دوره يصفق له الواقع,not verified,جميعنا على مسرح الحياة والقدر يحدد أدوارنا، ومن يقوم بدوره ببراعة يثني عليه الواقع.
اللهم لك الحمد كما ينبغي لجلال وجهك وعظيم سلطانك,not verified,اللهم لك الحمد كما ينبغي لجَلَالِ وَجْهِكَ وَعَظِيمِ سُلْطَانِكَ.
ارغب بان اجعل هذا اليوم استراحه فارغه لا افعل فيها شيئا سوي النوم ولكن باحلامي,not verified,أرغب في أن يكون هذا اليوم راحة فارغة، لا أقوم بها بأي شيء سوى النوم، ولكن في أحلامي.
اللهم اني اعوذ بك من زوال نعمتك و تحول عافيتك و فجاءه نقمتك و جميع سخطك,not verified,اللهم إني أعوذ بك من زوال نعمتك وتحول عافيتك وفجاءة نقمتك وجميع سخطك
نمشي ولا نعلم خفايا المقادير يالله عسي في غيب الايام خيره,not verified,لا نعرف أسرار الأقدار يا الله، عسى أن يكون خيرا في المستقبل
خلكم انتو علي شرطي حرامي ولعبه البيضه,not verified,استقر في موضوعكم على شرطٍ بين الشرطي والحرامي ولعبة البيضة.
اصدقاء الاصدقاء حتي لو ما كنت اعرفهم احس بحب تلقائي لهم لانهم يسعدون الشخص اللي انا احبه,not verified,أصدقاء الأصدقاء حتى لو لم أكن أعرفهم، أشعر بمحبة تلقائية لهم لأنهم يسعدون الشخص الذي أحبه.
والله مالي خلق لمواجهه اسبوع دراسي جديد,not verified,والله ليس لدي الرغبة في مواجهة أسبوع دراسي جديد.
نصيحه من ذهب خلك مع شخص يحسسك بقيمتك رغم زحمه اشغاله يحاكيك رغم كل الاشخاص اللي حوله لدرجه انه يحس يومه فارغ بدونك,not verified,نصيحة من ذهب: ابقَ مع شخص يُشعرك بقيمتك رغم ازدحام أعماله، يتفاعل معك برغم وجود الكثير من الأشخاص حوله، لدرجة أنه يشعر أن يومه فارغ بدونك.
اللي يجلسون عند الدريشه فالطياره تشوفوني وانا اسوي لكم باي,not verified,الذين يجلسون عند الدريشة في الطائرة سترونني وأنا سأودعكم.
اذا لم تستطع ان تترك اثرا جميلا في القلوب ف لا تزرع فيها الذي لا ينسي,not verified,إذا لم تتمكن من أن تترك أثرًا جميلا في القلوب، فلا تزِرع فيها ما لا يُنسَى.
بس ستيل حلوه,not verified,بس الستايل حلوة
جرب تبدا بالكلام يمكن انا انتظرك انت,not verified,حاول أن تبدأ الحديث، ربما أنا أنتظرك.
الله يرحمها ويغفرلها ويغمد روحها الجنه يارب,not verified,الله يرحمها ويغفر لها ويغمد روحها الجنة يا رب.
مره شكرا والله,not verified,شكرًا جزيلاً
لو تحبون الشتاء اقروا هالثريد,not verified,إذا كنتم تحبون الشتاء، اقرؤوا هذا الثريد
لو تفارقني ثواني اكتئب واكره نفسي لا تخليني اعاني وانت في عمري شريك,not verified,إذا فارقتني لفترة زمنية قصيرة، سأشعر بالاكتئاب وأبغض نفسي. لا تدعني أعاني وأنت الشريك في حياتي.
خذ راحتك ما عدهاا تفرق معي,not verified,خذ استراحتك، ليس لها أي تأثير عليّ.
يصبرر اصبرو فان الله مع الصابرين,verified,اصبروا فإن الله مع الصابرين
مو شرط نتبادل الحديث ممكن نتبادل اغاني,verified,لا يُشترط أن نتبادل الحديث بل يمكننا تبادل الأغاني.
اكثر شعور محبط فعلا,not verified,أشعر بالإحباط بشكل كبير حقاً.
ولا به حي غيرك بصدري عهد بيني وبينه,verified,وليس هناك في قلبي سواك، وبيني وبينه عهد.
النجاح في ما اريده العمل بجد سنين حياتي بين كر وفر يوم احسن العمل واخر يضيع,not verified,النجاح في ما أريده يكمن في العمل الجاد طوال سنوات حياتي، فهي مليئة بالصعاب والتحديات. في يومٍ من الأيام، أرى نتائج إيجابية تجاه العمل الذي أقوم به، وفي يومٍ آخر، قد يضيع جهدي بدون أي فائدة.
الوقت الذي تمضيه بين احضان الطبيعه والاماكن الخضراء هو وقت ذهبي يضاف لحياتك بدل ان يستقطع منها,not verified,الوقت الذي تقضيه بين أحضان الطبيعة والأماكن الخضراء هو وقت ذهبي يضاف إلى حياتك بدلاً من أن يستقطع منها.
تضيق اليوم تتسع غدا تخسر اليوم تكسب غدا تسقط اليوم ترتفع غدا امن بقانون التعويض الرباني الله لا يترك عبده علي سوء حاله صباح الخير,not verified,تضيق اليوم تتسع غداً، تخسر اليوم تكسب غداً، تسقط اليوم ترتفع غداً. آمن بقانون التعويض الرباني، الله لا يترك عبده على سوء حاله. صباح الخير.
لا شيء يستمر اذا لم يكن متبادل,not verified,لا يدوم شيء إذا لم يكن هناك تبادل.
يا شبيهي يا اخري حيث انت انا,not verified,يا شبيهي يا آخري، أين أنت؟ أنا.
٥ ٧ ١٨٣٠ وثيقه تسليم الجزائر الي فرنسا من قبل العثمانيين اجداد اردوغان,not verified,"٥ ٧ ١٨٣٠ وثيقة تسليم الجزائر إلى فرنسا من قبل العثمانيين, أجداد أردوغان"
اول مرره اتقوول شي واتفق علييه,not verified,أول مرة أعتقد شيئًا وأتفق عليه.
ياليل انت بعدد,not verified,يا ليل، أنت بعدد ساعات الليل
رمشه وعينه تساوي بلاد,not verified,رمشه وعينه تعادلان بلاد.
ما اكثر الاحلام التي دفنها اصحابها لنفس السبب,not verified,كم هو وفير عدد الأحلام التي قام أصحابها بدفنها لنفس السبب.
ماله طعم الاهتمام لو اطلبه يجي منك ولا ما ابيه,not verified,ليس له طعم الاهتمام إلا إذا طلبته منك، ولا أرغب فيه.
طاريه غير وفزه القلب له غير,not verified,الأمر مختلف، وقد زاد التعلق به في القلب.
ابي طيز صدر ابي الحس كس لحس ابي وحده تمصه ماخليج اله مسوي كل الوضعيات,not verified,أرغب في الحصول على ممارسة جنسية مع شخص ما، وأرغب أيضًا في ممارسة الجنس الفموي مع هذا الشخص. أرغب في العثور على شخص وحيد يقوم بممارسة الجنس الفموي لي، وأنا لا أوجد أي مشكلة في اتخاذ جميع المواقف الجنسية.
اللهم الراحه من ضيقه النفس,not verified,اللهم انفتاح الصدر وتخفيف الضيق النفسي
اذكار الاذان اللهم رب هذه الدعوه التامه والصلاه القائم,not verified,أذكار الأذان: اللهم رب هذه الدعوة التامة والصلاة القائمة.
زي اللغه الصينيه كثير كلمات معتمده علي شكل الشي مثلا كلمه شجره وكلمه غابه لاحظي الاولي شكلها ع اساس شجره والثانيه عده اشجار فتكون غابه,not verified,"زي اللغة الصينية كثير كلمات معتمدة على شكل الشيء، مثلاً كلمة ""شجرة"" وكلمة ""غابة"". لاحظي الأولى شكلها على أساس شجرة والثانية تحتضن عدة أشجار فتكون غابة."
عليك اغار و اكتم هالشعور اخاف غيرتي بالحيل تزعجك,not verified,عليك أن تغار وتكتم هذا الشعور، أخشى أن يؤثر تغيري فيك بشدة
هو روحي دونه ماعيش اني,not verified,هو روحي دونه لا أستطيع العيش.
اه اكره هالحركه تنرفز خصوصا مع الاهل اللي بالعاده عادي يقرون الرسايل ومايردون عليها فما اعرف اذا قروها ولا لا,not verified,أَه، أكره هذه الحركة، تثير الإزعاج خصوصاً مع أفراد الأسرة الذين غالباً ما يقرون الرسائل ولا يُجيبون عليها، فلا أعلم هل قرؤوها أم لا.
واعيه لمشاعري من البدايه ولكن كنت تاركتها تتطور علي راحتها لعده اسباب منها اني كنت مصدومه ومستسلمه لكن خلاص طفشت من هالدور,not verified,متنبّهة لمشاعري من البداية ولكنني كنتُ أتركها تتطور على نفسها لعدة أسباب، منها أنّي كنتُ مصدومة ومستسلمة، لكنّني بالفعل تعبتُ من هذا الدور.
بيعجبني السناب اكتر يا لنوش الشات تبعو احلي بحس و بحسو اسهل من الانستغرام لهالقصص,not verified,يعجبني سنابشات أكثر يا لنوش، دردشته أحلى وأسهل عندي شعور ويسهل علي اشتغاله عن الإنستغرام في هذه القصص.
واقعا چیکار کنیم سرعت وردپرس مثل روز اول حفظ بشه واقعا سوالمه,not verified,حقًا، ماذا يمكننا أن نفعل للحفاظ على سرعة وردبرس كما في البداية؟ حقا، هذا سؤالي.
استودع الله الذي لا تضيع ودائعه ديني ونفسي وامانتي وخواتيم عملي وبيتي واهلي واحبتي ومالي,not verified,أودع الله الذي لا يضيع أماناته، ديني ونفسي وأمانتي وآخر أعمالي ومسكني وعائلتي وأحبائي وثروتي.
محبتي لك يالغضي وردتني حوض المنيه بين يوم وليله,not verified,محبتي لك يا الغالي وردتني حوض المنية بين يوم وليلة
برغبتك رحلت و برغبتي لن تعود,verified,بناءً على رغبتك، أنت رحلت وبناءً على رغبتي، لن تعود.
للاسف السيئين بهالزمن اصحابهم كثيرين ومعادوا منبوذين زي اول صار العكس هو الواقع بالاضافه الي انه محد يقدر يحكم ع السبب الحقيقي لعزله او نبذ هالشخص الا لما الواحد شخصيا يقرب جنبه ويتعرف عليه اما الاعتماد علي كلام الناس ونظرتهم تجاهه فغالبا تكون خاطئه او غير دقيقه,not verified,للأسف، في هذا الزمن هناك الكثير من الأشخاص السيئين وصحبتهم كثيرة، ويتم انبذاؤهم مثلما كان العكس في السابق. بالإضافة إلى ذلك، لا يمكن لأحد أن يحكم على السبب الحقيقي لعزلهم أو رفضهم، إلا عندما يقترب الشخص شخصيًا منهم ويتعرف عليهم. أما الاعتماد على أقوال الناس ورؤيتهم تجاههم، فغالبًا ما تكون غير صحيحة أو غير دقيقة.
م لقيت احد مثلك وماظن مثلك القي,not verified,لم أجد أحداً مثلك ولا أعتقد أنه من الممكن أن أجد أحدهم مثلك.
نادر بيين الععرب ف طبعه,verified,نادر بين العرب في طبعه
بكره ميلاد صديقتي اللي اعرفها تقريبا من سنتين ونصف او ثلاث بس علاقتنا حاليا شبه ميته لدرجه وانا اكتب كلمه صديقتي احس في شي غلط المهم محتاره ايش ممكن اسوي لها عشان اسعدها بما انها صديقه مب في الواقع وفي بلد ثاني,not verified,"غدًا يوم ميلاد صديقتي التي أعرفها تقريبًا منذ سنة ونصف أو ثلاث سنوات، لكن علاقتنا حاليًا تقريبًا ميتة تمامًا. عندما أكتب كلمة ""صديقتي""، أشعر بشيء خاطئ. المهم، أنا الآن محتارة ما الذي يمكنني فعله لإسعادها، خاصةً أنها ليست صديقتي في الواقع وأنا لا أعيش في نفس البلد."
